"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Verveine"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	""	"CHF 0,00"	""	""
"Earl Grey"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""
"süss"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""
"Cappuccino"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"Schoggi"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""
"Chai Latte"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"Länggass Tee"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"mit Milch"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"mit Hafermilch"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	""	"CHF 0,00"	""	""	""	""	"CHF 0,00"	""	""	"CHF 0,00"	""	""	""	""	""	""
"Hanenwasser 5dl"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""
"Kindersirup"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	""	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	""	""	""	""	""
"Ginger Lemon"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	""	""	""	"CHF 0,00"	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""
"kalt"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""
"sauer"	"CHF 0,00"	""	""	""	""	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	"CHF 0,00"	""	""	""	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	"CHF 0,00"	""	"CHF 0,00"	"CHF 0,00"	""	"CHF 0,00"	""	""	""
"Latte Macchiato"	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"Die Früchte"	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Kaffee"	"CHF 0,00"	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""
"Diverses Beverage (Getränke)"	"CHF 0,00"	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""
"Matcha Latte"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""
"Cappuccino Fredo"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	""	""	""
"Milchkaffee"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 0,00"	""	""
"Babychino"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""
"Doppelter Espresso"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""
"Espresso"	"CHF 0,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 0,00"	""	""
