"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Espolón Blanco 4cl"	"CHF 72,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 72,00"	""	""	""	""	""	""	""	""	""	""	""
"Molto Negre Cava Brut nature Rosé 75cl"	"CHF 69,00"	""	""	""	""	""	"CHF 69,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Mapliers Abacus 75cl"	"CHF 69,00"	""	""	""	""	""	""	""	"CHF 69,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Aciano el Pego 75cl"	"CHF 69,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 69,00"	""	""
"Sauvignon Blanc Saxum 75cl"	"CHF 68,00"	""	""	""	""	""	"CHF 68,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Sul Vulcano Rosato 75cl"	"CHF 68,00"	""	""	""	""	""	""	""	"CHF 68,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Petit Chablis 75cl"	"CHF 66,00"	""	""	""	""	""	"CHF 66,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Haru Rosado Tierra de Murcia 75cl"	"CHF 65,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 65,00"	""	""	""	""	""	""	""	""	""	""
"Albino Bianco 75cl"	"CHF 65,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 65,00"	""	""	""	""	""	""	""	""	""	""
"Lagrein Rivus 75cl"	"CHF 65,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 65,00"	""	""	""	""	""	""	""
"Gómez Cruzado Crianza Rioja 75cl"	"CHF 63,00"	""	""	""	""	""	"CHF 63,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Dominio do Acor Tinto 75cl"	"CHF 63,00"	""	""	""	""	""	""	"CHF 63,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Roero Arneis Costa delle Rose 75cl"	"CHF 63,00"	""	""	""	""	""	""	""	""	"CHF 63,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Château Charmail 75cl"	"CHF 63,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 63,00"	""	""	""	""	""	""	""	""	""	""	""
"Riesling Silvaner 75cl"	"CHF 63,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 63,00"	""	""	""	""
"Sorrento Sling"	"CHF 60,00"	""	""	""	""	""	"CHF 20,00"	""	""	""	""	""	""	""	"CHF 20,00"	""	""	""	""	""	"CHF 20,00"	""	""	""	""	""	""	""	""	""	""	""
"Fluffy Duck"	"CHF 60,00"	""	""	""	""	""	""	"CHF 20,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 40,00"	""	""	""	""	""	""	""	""	""	""
"Ginger in the Breeze"	"CHF 60,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 20,00"	""	""	""	""	""	"CHF 20,00"	""	""	""	""	""	""	"CHF 20,00"	""	""	""	""
"Franciacorta Brut Satèn 75cl"	"CHF 60,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 60,00"	""	""	""	""	""	""	""	""	""	""
"Cappuccino Decaf"	"CHF 57,60"	""	""	"CHF 6,40"	""	""	""	"CHF 6,40"	""	""	"CHF 6,40"	""	""	""	"CHF 12,80"	"CHF 6,40"	"CHF 6,40"	""	"CHF 6,40"	""	"CHF 6,40"	""	""	""	""	""	""	""	""	""	""	""
"Chai Latte"	"CHF 56,00"	"CHF 24,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 16,00"	""	""	""	""	""	""	"CHF 16,00"	""	""
"Chardonnay Unplugged 75cl"	"CHF 56,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 56,00"	""	""	""
"Schoggi"	"CHF 53,00"	""	""	""	""	"CHF 5,30"	"CHF 10,60"	"CHF 10,60"	""	""	"CHF 5,30"	""	""	""	"CHF 5,30"	""	""	""	""	""	""	""	"CHF 0,00"	""	""	""	"CHF 5,30"	""	"CHF 5,30"	"CHF 5,30"	""	""
"Eistee 0,5"	"CHF 52,50"	""	""	"CHF 3,50"	""	""	""	"CHF 7,00"	"CHF 7,00"	""	"CHF 3,50"	""	""	"CHF 3,50"	""	"CHF 3,50"	""	"CHF 3,50"	""	"CHF 3,50"	"CHF 3,50"	""	"CHF 7,00"	""	""	""	""	""	"CHF 7,00"	""	""	""
"Jack Daniel's No 7 4cl"	"CHF 50,00"	""	""	""	""	""	""	"CHF 30,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 20,00"	""	""	""
"Don Papa Baroko 4cl"	"CHF 48,00"	""	""	""	""	"CHF 32,00"	""	""	""	""	""	""	""	""	"CHF 16,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Martini Ambrato 4cl"	"CHF 48,00"	""	""	""	""	""	"CHF 16,00"	"CHF 16,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 8,00"	""	""	""	""	""	""	"CHF 8,00"	""	""
"Espolón Reposado 4cl"	"CHF 48,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 48,00"	""	""	""	""	""	""	""	""	""	""
"Talisker 10y 4cl"	"CHF 45,00"	""	""	""	""	"CHF 45,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Ananassaft 30cl"	"CHF 44,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 6,30"	"CHF 6,30"	"CHF 6,30"	"CHF 12,60"	""	""	""	""	"CHF 6,30"	""	""	""	""	""	""	"CHF 6,30"	""	""
"Bailey's 4cl"	"CHF 42,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 8,50"	"CHF 17,00"	""	""	""	""	"CHF 17,00"	""	""	""	""	""
"Ristretto"	"CHF 42,40"	""	""	""	"CHF 5,30"	""	""	""	""	""	""	""	"CHF 5,30"	""	""	""	""	""	"CHF 10,60"	""	""	""	"CHF 5,30"	"CHF 5,30"	"CHF 5,30"	"CHF 5,30"	""	""	""	""	""	""
"Bumbu 4cl"	"CHF 42,00"	""	""	""	""	""	""	"CHF 14,00"	""	""	""	""	""	""	"CHF 28,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
