"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Dessertvariation"	"CHF 144,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 144,00"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Crispy Futomaki Beef"	"CHF 140,00"	"CHF 14,00"	""	""	""	""	""	"CHF 42,00"	""	""	""	""	"CHF 14,00"	"CHF 14,00"	""	""	""	""	""	""	""	"CHF 14,00"	""	""	""	""	""	"CHF 14,00"	"CHF 28,00"	""	""	""
"Die Ricotta Kirsch Torte"	"CHF 140,00"	"CHF 28,00"	""	""	"CHF 14,00"	""	""	"CHF 14,00"	"CHF 28,00"	""	""	""	""	"CHF 14,00"	""	""	""	"CHF 28,00"	""	""	"CHF 0,00"	""	""	""	""	""	""	"CHF 14,00"	""	""	""	""
"Futomaki beef"	"CHF 140,00"	""	""	""	""	""	""	""	""	""	""	""	"CHF 87,50"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 52,50"	""	""	""	""	""
"Apero"	"CHF 138,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 138,00"	""	""	""	""	""	""	""	""	""	""	""	""	""
"Kinder Pasta Tomaten"	"CHF 130,00"	""	""	""	""	"CHF 26,00"	""	""	""	""	""	""	""	"CHF 13,00"	""	""	""	"CHF 13,00"	""	"CHF 13,00"	""	"CHF 26,00"	""	""	""	""	""	"CHF 13,00"	"CHF 26,00"	""	""	""
"Apero zum teilen"	"CHF 106,40"	""	""	""	""	"CHF 106,40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Der Grieche TA"	"CHF 99,00"	""	"CHF 9,00"	""	""	""	""	""	""	""	""	"CHF 9,00"	"CHF 9,00"	""	""	""	""	""	""	"CHF 9,00"	""	"CHF 9,00"	""	"CHF 18,00"	""	"CHF 9,00"	""	"CHF 18,00"	""	"CHF 9,00"	""	""
"Vorspeise Menu"	"CHF 95,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 95,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Extra Rahm"	"CHF 86,00"	"CHF 8,00"	""	""	""	"CHF 2,00"	"CHF 8,00"	"CHF 14,00"	"CHF 6,00"	"CHF 6,00"	""	""	"CHF 2,00"	""	""	"CHF 4,00"	"CHF 4,00"	""	"CHF 6,00"	"CHF 6,00"	""	"CHF 6,00"	"CHF 4,00"	""	""	"CHF 2,00"	"CHF 2,00"	"CHF 4,00"	""	"CHF 2,00"	""	""
"Crispy Futomaki Tuna"	"CHF 84,00"	""	""	""	""	""	"CHF 28,00"	""	""	""	"CHF 14,00"	""	""	""	"CHF 14,00"	""	""	""	""	""	""	""	""	""	""	""	""	""	"CHF 28,00"	""	""	""
