"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Crodino Spritz"	"57"	""	"1"	""	"1"	"3"	"5"	"5"	"1"	""	"1"	""	"1"	"3"	"3"	"1"	""	"2"	""	"2"	"7"	"7"	"1"	"1"	"1"	"4"	"1"	"3"	"2"	"1"	""	""
"Armando 10cl"	"56"	""	""	""	""	""	"9"	"4"	"1"	""	"2"	""	""	"3"	""	"3"	""	"5"	"1"	"6"	"10"	"2"	""	""	""	""	"4"	"3"	"3"	""	""	""
"Rivella blau 33cl"	"55"	"3"	"1"	"3"	"2"	"4"	"1"	"1"	"1"	"2"	""	"4"	""	"3"	"3"	"2"	""	"5"	"3"	""	"1"	"1"	"3"	"2"	""	"1"	"3"	"2"	"3"	"1"	""	""
"Pouilly Fumé Élisa 10cl"	"55"	""	""	"1"	""	"1"	"10"	"9"	""	""	""	""	"2"	"5"	"9"	"7"	""	"2"	"3"	"2"	""	""	""	"2"	"1"	"1"	""	""	""	""	""	""
"Albino Bianco 10cl"	"53"	""	"3"	"4"	"1"	"2"	"5"	"2"	"9"	""	"2"	"1"	"4"	""	""	"1"	""	"6"	""	"1"	"2"	"4"	"1"	"1"	""	""	""	"1"	"3"	""	""	""
"Milchkaffee"	"51"	"6"	""	"1"	"1"	""	""	"5"	"2"	""	""	""	"3"	"4"	"2"	"1"	""	"1"	"2"	"1"	"1"	""	"6"	"1"	"3"	"4"	"1"	"3"	"1"	"2"	""	""
"Macho Man 10cl"	"51"	""	""	"6"	""	"6"	"2"	"7"	""	""	"1"	"1"	"3"	"2"	"4"	""	""	"1"	""	"6"	"2"	""	"1"	""	""	"5"	""	"1"	"3"	""	""	""
"Rivella rot 33cl"	"50"	"1"	"3"	"5"	"2"	"5"	"1"	"5"	"1"	""	"1"	""	"2"	"2"	"1"	""	""	""	"2"	"2"	"2"	"3"	"5"	"1"	"2"	"1"	""	"3"	""	""	""	""
"Riesling No Sex 10cl"	"50"	""	""	"4"	"1"	"5"	"6"	"2"	"1"	""	"1"	"1"	""	"5"	"7"	""	""	"1"	""	""	""	"1"	"4"	""	"5"	"1"	""	"2"	"3"	""	""	""
"Negroni"	"47"	"2"	""	"1"	"1"	"2"	""	"3"	""	""	""	"1"	"3"	"2"	"2"	""	""	""	""	"6"	"6"	"10"	"2"	"1"	""	""	"2"	"2"	"1"	""	""	""
"Latte Macchiato"	"46"	"2"	""	""	"1"	"2"	""	"9"	"1"	"1"	""	"1"	"2"	"3"	"2"	"1"	""	"2"	"1"	""	"1"	"4"	"3"	""	""	"1"	""	"3"	"4"	"2"	""	""
"Mademoiselle"	"46"	""	""	""	""	"1"	"3"	"7"	"6"	"2"	"2"	"2"	""	"3"	"1"	"1"	""	"1"	"1"	""	"4"	"4"	"2"	""	""	"1"	"3"	""	"1"	"1"	""	""
"Malanser Blauburgunder Classic 10cl"	"44"	"3"	"5"	""	""	""	"3"	"2"	"2"	"2"	"1"	"2"	"1"	""	"8"	""	"3"	"5"	""	""	""	""	""	"1"	""	"1"	""	"1"	"1"	"3"	""	""
"Menthe du Maroc"	"40"	"1"	"1"	""	"2"	"2"	"1"	"3"	"4"	""	"1"	"1"	""	"1"	"1"	"4"	"2"	""	""	""	"2"	"1"	"2"	""	"1"	"1"	""	"3"	"2"	"4"	""	""
"Mojito"	"40"	""	""	"3"	"1"	"1"	"3"	"3"	""	""	""	""	"1"	""	"4"	"1"	"2"	""	"1"	"4"	"3"	"3"	"2"	""	"1"	"3"	""	"1"	"3"	""	""	""
"Citro offen 30cl"	"40"	""	"2"	"1"	"1"	"4"	""	"1"	"1"	""	""	"2"	"2"	"2"	"3"	""	"1"	"1"	"2"	"1"	"2"	"3"	""	""	""	"1"	"1"	"1"	"4"	"4"	""	""
"Doppelter Espresso"	"40"	""	"1"	"1"	""	""	"3"	"3"	""	""	"2"	""	"3"	"4"	"3"	""	""	"2"	"1"	"2"	"2"	"5"	"2"	"1"	""	"1"	"3"	""	"1"	""	""	""
