"Bezeichnung"	"Zeitraum"	"01.03."	"02.03."	"03.03."	"04.03."	"05.03."	"06.03."	"07.03."	"08.03."	"09.03."	"10.03."	"11.03."	"12.03."	"13.03."	"14.03."	"15.03."	"16.03."	"17.03."	"18.03."	"19.03."	"20.03."	"21.03."	"22.03."	"23.03."	"24.03."	"25.03."	"26.03."	"27.03."	"28.03."	"29.03."	"30.03."	"31.03."
"Die Ziege"	"77"	"3"	"3"	""	"1"	"3"	"7"	"4"	"5"	"3"	"2"	"2"	"1"	"2"	"3"	"2"	"2"	"3"	"2"	"1"	"2"	"5"	"3"	"1"	""	"3"	"1"	"4"	"6"	"3"	""	""
"Die Rippen"	"76"	"1"	""	"2"	"1"	"1"	"3"	"5"	"1"	"1"	""	"1"	""	"2"	"4"	"7"	""	"2"	"3"	"7"	"5"	"8"	""	""	"5"	"1"	"1"	"3"	"10"	"2"	""	""
"Pizza Manzo"	"76"	"5"	"4"	"2"	"1"	"1"	"5"	"4"	"1"	"2"	"1"	""	"1"	"4"	"2"	"3"	""	"2"	""	"5"	"2"	"9"	"1"	"4"	"2"	"1"	"2"	"5"	"4"	"3"	""	""
"Pizza Rustico"	"73"	"3"	"1"	"1"	"1"	"5"	""	"5"	"3"	""	""	"1"	"5"	"1"	"8"	"1"	""	""	""	"1"	"6"	"3"	"2"	"3"	"4"	"2"	"2"	"3"	"12"	""	""	""
"Menusalat"	"72"	""	"2"	"4"	"2"	"8"	"2"	""	""	"1"	"6"	"7"	"3"	"2"	""	""	"2"	"3"	""	"1"	"1"	""	""	"4"	"6"	"2"	"14"	"2"	""	""	""	""
"Pizza Napoli"	"62"	"2"	"1"	""	"3"	"2"	"5"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	""	""	""	"4"	"8"	"4"	"5"	"1"	"2"	""	"3"	"5"	"1"	""	""	""
"Pasta Pomodoro TA"	"61"	"1"	"1"	"2"	"1"	""	"3"	"5"	""	"3"	"1"	"5"	"1"	"8"	"1"	""	"1"	"5"	"2"	"2"	""	"4"	""	"1"	"3"	"2"	""	"5"	"3"	"1"	""	""
"Das Tartufo Focaccia"	"61"	"3"	""	""	"3"	"1"	"1"	"2"	"3"	"1"	""	""	""	"2"	"6"	"1"	"1"	""	""	"2"	"6"	"4"	"1"	""	"2"	"1"	"3"	"6"	"8"	"4"	""	""
"Pizza und Küche"	"60"	"2"	""	"1"	"3"	"1"	"2"	"4"	"4"	""	"1"	"2"	""	"1"	"4"	""	""	"3"	"3"	"3"	"4"	"5"	"1"	"1"	"4"	"3"	"2"	"3"	"3"	""	""	""
"Der Turm"	"60"	"9"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"22"	""	""
"Pizza Funghi TA"	"60"	"1"	"1"	"2"	"1"	"2"	"4"	"4"	"1"	"1"	"2"	"2"	"1"	"3"	"2"	""	"1"	"3"	"1"	"1"	"2"	"3"	"1"	"4"	"6"	"2"	"6"	""	"3"	""	""	""
"Der Apfelstrudel"	"60"	"4"	"1"	""	""	"1"	""	"6"	"5"	"5"	"1"	""	"2"	"2"	"4"	"4"	"1"	"3"	"1"	"2"	"2"	"2"	""	"2"	""	"3"	"1"	"3"	"3"	"2"	""	""
"Pizza Quattro Formaggi"	"60"	"2"	"2"	"2"	"3"	"1"	"4"	"7"	"3"	""	"1"	"1"	"3"	"3"	"1"	""	""	""	"3"	"1"	"4"	"3"	"1"	""	"3"	"1"	"4"	"1"	"5"	"1"	""	""
"Das Rindsfilet"	"60"	""	"1"	""	"1"	"2"	"3"	"4"	"7"	""	""	"1"	"1"	"2"	"4"	"2"	"2"	"3"	"1"	"4"	"1"	"2"	"1"	""	"1"	"1"	"2"	"3"	"11"	""	""	""
"Fleisch menu"	"59"	""	""	""	""	""	""	""	""	""	""	""	"37"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"21"	""	""	""	""	""
"Das Kalbssteak 220gr"	"56"	""	"1"	""	"1"	"2"	"1"	"6"	"2"	""	""	""	"1"	"2"	"6"	"1"	"1"	"2"	"11"	"2"	"1"	"1"	"1"	"2"	"1"	""	"3"	"1"	"4"	"3"	""	""
"Pizza und Küche"	"55"	""	"6"	"5"	"2"	"6"	"1"	""	""	""	"1"	"5"	"2"	"4"	""	""	""	"3"	""	"3"	"3"	""	""	"2"	"3"	"3"	"5"	"1"	""	""	""	""
"Fleisch Menu"	"53"	""	""	""	""	"39"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Pizza Prosciutto"	"51"	"1"	""	""	"1"	"2"	"4"	"4"	"1"	"3"	""	"1"	"1"	"2"	"4"	"2"	""	"5"	""	"1"	"4"	"3"	"1"	"3"	"1"	"1"	"2"	"2"	"2"	""	""	""
"Die Dorade"	"51"	""	"3"	""	"2"	""	"1"	"4"	"3"	"1"	""	"2"	"2"	"2"	"1"	"5"	"1"	""	"2"	"1"	"1"	"5"	"3"	""	"2"	"1"	"1"	"3"	"5"	""	""	""
"Pizza Salmone"	"51"	""	"1"	"1"	"2"	"2"	"2"	"3"	"2"	"1"	"1"	"1"	"1"	"3"	"1"	"1"	""	"3"	""	"2"	"3"	"6"	""	"4"	"2"	"2"	"1"	"2"	"1"	"3"	""	""
"Der Zander Saltimbocca"	"50"	""	"2"	"1"	"1"	""	"2"	"4"	"5"	""	""	""	"2"	"1"	"2"	"5"	""	""	"3"	"1"	"2"	"6"	""	""	""	"1"	"2"	"6"	"2"	"2"	""	""
"Bien cuit"	"49"	"6"	""	"1"	""	"2"	"3"	"5"	"1"	""	"1"	"1"	""	"2"	"5"	"1"	""	"2"	""	"3"	"1"	"3"	"3"	""	"2"	"1"	""	"2"	"4"	""	""	""
"Das Rinds Tatar"	"49"	""	"3"	""	""	"1"	"5"	"1"	"2"	"1"	""	"1"	""	"3"	"4"	"2"	""	""	""	"3"	"2"	"6"	"1"	"2"	"2"	""	"1"	"3"	"4"	"2"	""	""
"Die Frutti di Mare Risotto"	"48"	""	"2"	""	"2"	"1"	"1"	"5"	"5"	""	""	"1"	""	"1"	"5"	"3"	""	""	"1"	"1"	"3"	"2"	"1"	""	"2"	"2"	""	"2"	"4"	"4"	""	""
"Happy Chicken"	"46"	"1"	"2"	""	""	""	"3"	"4"	"4"	"4"	""	""	""	"1"	"3"	""	"1"	""	"1"	"2"	"1"	"3"	""	""	"2"	""	"2"	"4"	"8"	""	""	""
"Pizza Royal Margherita TA"	"46"	"3"	"1"	"1"	""	"3"	""	""	"3"	"2"	"2"	"1"	"2"	"6"	""	"1"	""	"1"	""	"3"	"7"	""	""	"2"	"4"	""	"2"	"1"	""	"1"	""	""
"Crunchy Shrimp"	"44"	"3"	"2"	"3"	""	"1"	"2"	""	"3"	""	""	""	"1"	"2"	"6"	""	""	"1"	""	"1"	"4"	"2"	""	""	""	"1"	"3"	"3"	"6"	""	""	""
"Das Rindsfilet Stroganoff"	"44"	"4"	"2"	""	"2"	"1"	"3"	"2"	"2"	""	""	""	""	""	"3"	""	"1"	"1"	""	"1"	"2"	"1"	""	"2"	"2"	"1"	"5"	"1"	"4"	"4"	""	""
"Extra Rahm"	"43"	"4"	""	""	""	"1"	"4"	"7"	"3"	"3"	""	""	"1"	""	""	"2"	"2"	""	"3"	"3"	""	"3"	"2"	""	""	"1"	"1"	"2"	""	"1"	""	""
"Pizza Gamberi"	"43"	"1"	""	""	"2"	"4"	"5"	"2"	"1"	"1"	"1"	""	""	"2"	"3"	"3"	""	"3"	"1"	""	"1"	"4"	"1"	""	"2"	""	"2"	"2"	"1"	"1"	""	""
"Blaubeeren Sorbet"	"42"	"1"	"1"	""	"2"	"7"	"3"	"7"	"1"	"2"	""	"1"	""	""	""	"2"	""	"2"	"2"	"2"	"1"	"3"	""	""	""	""	"1"	"2"	"2"	""	""	""
"Businesslunch"	"41"	""	"2"	""	"1"	"1"	"3"	""	""	""	"1"	"2"	"2"	"3"	""	""	"1"	"2"	"5"	"3"	"3"	""	""	""	"10"	"1"	""	"1"	""	""	""	""
"Der Thai Lachs"	"40"	""	""	"1"	""	""	"2"	"3"	"2"	"1"	""	""	""	"1"	"1"	"1"	""	""	"2"	""	"2"	"2"	"4"	"2"	"2"	"2"	"3"	"1"	"5"	"3"	""	""
"Tomaten bruschetta"	"40"	""	""	""	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""
"Futomaki beef"	"40"	""	""	""	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""
"Kleines lachstartar"	"40"	""	""	""	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""
"Kaffee"	"39"	"5"	""	""	"1"	"4"	"1"	"1"	"3"	"3"	""	""	""	"1"	"2"	""	"1"	""	""	"1"	"2"	""	"2"	""	""	""	"1"	"5"	"2"	"4"	""	""
"Schokoladen Glace"	"39"	"3"	""	""	"1"	"1"	"3"	"3"	"4"	""	""	""	"1"	"1"	"1"	"2"	"1"	"1"	"4"	"1"	"1"	"1"	"2"	""	""	""	"2"	"4"	"1"	"1"	""	""
